text,polarity
فينو الاهبل ابن الاهبل ,Negative
على المصرييييين وجمالهم ربنا يحميهم #MinaAtta http://t.co/NkOvSx6mgD ,Positive
@Kholoudkewan  دول كتير اوى ودمهم خفيف العمارة اللي انا فيها كلها سوريين والأطفال عسل ,Positive
انا بعد كده  خلى اللى يوعنى   بحاجه همضى على وصل امانه علشان اضمن انو مش يخون ,Negative
انا هنتحر ,Negative
في حفظ الله يا ريس http://t.co/RGKtP9QHZB ,Positive
يا عيون عطشان عطشانة سهر يا قلوب تعبانة تعبانة سفر كتروا من الحب تلاقوا تلاقوا في الضلمة ألف قمر ,Positive
#زهقنا_من اسامي اكونتات البنات على مواقع التواصل الاجتماعي زي مثلا شروق الشمس و الذهب الأزرق و أي بطيخ و السلام ,Negative
@Omarr793 حمد الله ع السلامة ? ,Positive
@ahmedeslam07 أحا مين ؟! ,Negative
لما تشوف حد واحشك كان بقالك كتير مشفتوش? ,Positive
دعاء نازله الجنينة حياتى? #StaracArabia  #DoaaElSebaii  دعاء السباعي دعاء السباعى دعاء السباعى ,Positive
@f7271c87648b4c5 لحد دلوقتي بيقول انه فاهم ...مش عارفه ليه حاسه انه بيكذب ,Negative
@MhmoudElgameil انا مشروخ مشروخ يا جمي ,Negative
مشيشتش بقالي أسبوع، انه إنجاز :D ,Positive
كفايه البصه اللي ببصها لحد و انا مش طايق الحد ده .. ,Negative
احساس ان فى حد تانى خد مكانك من وسط الناس اللى بتحبهم وهما سابوه يخدو عادى . احساس وحش اوى ,Negative
@memoali4ever  بس انا كنت بحب المدرس بتاعها فلذلك حبتها ,Positive
و مين غيرك في قلبي اكتبله مرسالي ,Positive
السكينة لباسه والبر شعاره والتقوى ضميره والحكمة مقوله والصدق والوفاء طبيعته والعفو والمعروف خلقه والعدل سيرته والحق شريعته والهدى امامه ,Positive
@NesmaAbouleila @Tahoun71 ربنا يشفيه ويقوم بالسلامه ويشفى كل مريض ,Positive
متيأسش من اللي فات، واستبشر باللي جاي .. ربك كريم ,Positive
\@123Abdoibr: #عاجل  تردد قنوات الجزيره مباشر مصر التركيه دا التردد ياشباب 10921 علي معدل ترميز 27500 مدار 3 نايل سات مبروك يااحرار شير\\ ,Neutre
التايم لاين مُفرح بطريقة تفرّح :\)) ,Positive
خخخخخخخ كسم تضيع الرميات ,Negative
متخصصين بنضيع ضربات جزاء ف كره القدم ورميات حره ف السله مرار ,Negative
@waled21148264 اهل مكة ادرى بشعابها ,Neutre
حالة من الاكتئاب و البؤس .. ,Negative
32 ثانيه .. الفرق 55 لينا .. ياااارب ,Positive
إذا بلغك عن أخيك شيء تكرهه ، فالتمس له العذر جهدك ،فإن لم تجد له عذرا ، فقل : لعل له عذرا لا أعلمه.... ربنا يسامح .. ,Positive
على الصقفة كلة يرقص على الصقفة كلة يرقص  زماااااااااااااااااااااااااالك ,Positive
احساس ان الدنيا تسود ادامك كره واحده وتلاقى هموم تقيله وقعت علىيك فجاه  احساس وحش اوووى ,Negative
من يملك الأخلاق والأدب يسكن في القلوب إلى الأدب ,Positive
@mimi_kokaice76 بس بيشتم مينا ! ,Negative
الحياة ال ف خيالي حلوة اوووي :\) ,Positive
لا تيأس إذا حرمك الله ما تحب ولا تحزن إذا انجبرت على التعايش مع وضع قد يؤلمك بل إبتسم لأن الله قال بكل رحمة وعسى أن تكرهوا شيئا وهو خير لكم ,Positive
مفتقدة اوي فكرة ان يكون في حد قدي في البيت. ,Negative
النهايات السعيده دائما تاتي في المشمش ,Negative
@ALIABAS81096753 @69_sou ياح?وتك ياسيسي استقبال رائع لرئيس مصر الججيدة القوية ,Positive
صحيح ان الغربة صعبة بس الوحدة جميلة :D تخلص من هموم الناس وتفضى لهومك تحلها :) ,Positive
مُرتَدٌّ أنا عن حُبكِ و إن أهدرتى دمى المُباحُ ، فإن كان الإيمَانُ فى قُرَبكِ فالكفر بكِ فَلاحُ ! ,Negative
\@do_dy89: صعبه لما تفتكر انك مهم عند حد وف الاخر تكتشف انك كنت غلطان\ http://t.co/De82zZpxeL ,Negative
@weaamhilali  هاتيهم اخرج بيهم انا ,Neutre
@Mohamed_Helmy_T انا مضايق قوي ..  بصوت فداء ,Negative
الحرية ل?ولتراس الحرية للمدرج الكورة للجمهور يا داخلية وسخة ,Negative
ده قالي في يوم يا حبيبتى خدي القمر  ورحت معاه ومااداني إلا السهر ,Negative
ومين في مصر مابيحبش يرجع البيت يلاقي الغدا مكرونة وفراخ بانيه ؟؟ ,Neutre
وخيمت عيناك بليلى -------- وغادر نبضك عالمى ---------- عيناك منسيتان ,Negative
@teamah77 @medhat65 ربنا يحفظك من كل شر و يبارك فيكي ,Positive
جيل الايباد بمناسبة الامتحانات مامته بتقولوا ذاكر عاوزاك تاكل الكتاب اكل قالها هاتى كوباية ميه واعملى شاى علشان احبس ههههههههههههههههههههههه ,Neutre
@sarrranagi إنا لله و إنا إليه راجعون  طب ممكن لينك المكتب الحقوقى ,Negative
دا الدين في عرف الحر هم و مذلة و مر ,Negative
@monyadel982 @DesoukyAya اه والله حرقوا دمنا يلا بنحب مجانين ,Negative
قرب من ربنا وهتقرب منك كل حاجة حلوة ? ,Positive
#KirazMevsimi #MohammadChahine  ياريت نكسف التصويت على رقم 2222222 للصوت الدهبى http://t.co/uNmOarkblk ,Positive
ومن تانى اكيد راجعين انا دايب وكلى حنين ,Positive
اللي يشوفها في الشارع ميشوفهاش ع الانستجرام ,Negative
